Artista,Género,Tipo,Nombre,Año,ID
Peter Green Splinter Group,blues,track,Big Change Is Gonna Come,2001.0,7bcsuLTqUOotR4P3ybnFWH
"Clarence ""Gatemouth"" Brown",blues,track,Grape Jelly,2001.0,4PW5Z078Y99stLoNZCdc5S
Eric Clapton,blues,track,I Want a Little Girl,2001.0,2FbQ5dRqwiqgzeUjPfCTT9
Howlin' Wolf,blues,track,Spoonful,2001.0,6vCzTfUgMn7UiUR7Jd53Xq
John Hammond,blues,track,2:19,2001.0,2uQfgaV796QLHJCVOP4bn1
Eric Clapton,blues,track,Find Myself,2001.0,0sShW3aifkh0hTD3ohBlLe
Jools Holland,blues,track,"Say Hello, Wave Goodbye",2001.0,7x8TTgMc5JK6NePieMK3VM
John Hammond,blues,track,Shore Leave,2001.0,68Uzds0GkP6TmFJv5q0SOQ
Jools Holland,blues,track,Mademoiselle Will Decide,2001.0,6BAJLlhM9FmVyBeBb05VdF
Gov't Mule,blues,track,Beautifully Broken,2001.0,4Q8JkGO6EnyAz0GHugMigw
Gary Moore,blues,track,Stormy Monday,2001.0,58QmMyJ2w7dyRWTNpTf2dz
Michael Burks,blues,track,Got A Way With Women,2001.0,194PZerSFAOdqU7dl8yumg
Eric Clapton,blues,track,Second Nature,2001.0,4pFSTSTNW1c0jspIfMWiYt
Benny Neyman,blues,track,Crying Time,2001.0,0K2yX5bNS5U2VbUE4wncvR
Ana Popovic,blues,track,Love Fever,2001.0,2dVpVeNchAV4qmDKW9LQjk
Ray Collins' Hot Club,blues,track,Bopland,2001.0,43trMQPFOFN8wLdAwnikWv
Luther Allison,blues,track,Little Red Rooster,2001.0,4gTnd1Y3Dv6ut3EORWRBw7
Peter Green Splinter Group,blues,track,You'll Be Sorry Someday,2001.0,2WQEd0Exa2DKg6OVPxR7dX
Doyle Bramhall II,blues,track,Green Light Girl,2001.0,1kJYJIRMh17rYAnQpMD5um
Ray Collins' Hot Club,blues,track,You're My Gal,2001.0,1ab9HIdDPSsyWho6DE2cYz
R.L. Burnside,blues,track,Skinny Woman,2001.0,5hNAgHMZW4paZc9nNLw4dh
Jimmy LaFave,blues,track,Never Is a Moment,2001.0,1bOp9ko9VC1xKu7W3tYyN6
Jimmie Vaughan,blues,track,Dirty Girl,2001.0,5UVy5HRF7Gu5lCz645f13P
The Bel-Aires,blues,track,White Port and Lemon Juice,2001.0,0dqvR4MBxIbCRPhbix6wA8
Luther Allison,blues,track,Luther's Blues,2001.0,4G9M87EmtFi7YewZUimz1I
John Hammond,blues,track,Heartattack And Vine,2001.0,4ssh1aSjE8Sv0FaDBP2UtY
Simon Crashly & The Roadmasters,blues,track,Honky Tonk Women,2001.0,4MtuTf5inJp43koL6vFgpz
Jools Holland,blues,track,Nobody but You,2001.0,0Hjq6FeekK4dn1m6TwpmQ2
The Quantic Soul Orchestra,blues,track,"Super 8, Pt. 1",2001.0,7sHHcerCElk4E5cK6FXHB6
Tommy Castro,blues,track,Nasty Habits,2001.0,5doy0CoAN1Ju4UHzt9AQ1G
Big Bill Broonzy,blues,track,See See Rider,2001.0,2fAQfBOPkg1oOK8lqUObKW
Ray Collins' Hot Club,blues,track,Daddy's Coming Back Home,2001.0,1NYeXdwWwAbpuLlVNUYFyo
Peter Green Splinter Group,blues,track,Black Magic Woman,2001.0,2UOocqHuYvR3CHvI7nKtZv
Benny Neyman,blues,track,You Needed Me,2001.0,6McVrGiYHwUIrw8d3JSBUw
The Beat Daddys,blues,track,After the Mystery,2001.0,1wVxwuaS7FXiP4IcYe19Ds
Marcia Ball,blues,track,You Make It Hard,2001.0,0Er1BUpwCz0JCqugjFmEfd
Mike Sanchez,blues,track,Someday,2001.0,5lht5SugNmoYJ7ZOl2LpN9
Lucky Peterson,blues,track,When My Blood Runs Cold,2001.0,0NwajUAN1SePABy4nuNdiX
Zucchero,blues,track,Ali D'Oro,2001.0,7D2Heg2e8nSU4duxIGbBoL
Ray Collins' Hot Club,blues,track,Shaking That Boogie,2001.0,5YHQAwaUzkPSPvDEHC64Gp
Doyle Bramhall II,blues,track,So You Want It to Rain,2001.0,5Tbcm1ag6BHdZW16jz8GJM
